Player Name,Team,WKT,MAT,INN,OVR,RUNS,BBI,AVG,ECO,SR,4W,5W
Simarjeet Singh,SRH,2,4,4,10,141,46/2,70.5,14.1,30,0,0
Nuwan Thushara,RCB,1,1,1,4,26,26/1,26,6.5,24,0,0
Anukul Roy,KKR,1,1,1,4,27,27/1,27,6.75,24,0,0
Corbin Bosch,MI,1,2,2,7,55,26/1,55,7.85,42,0,0
Nathan Ellis,CSK,1,1,1,4,38,38/1,38,9.5,24,0,0
Kulwant Khejroliya,GT,1,1,1,3,29,29/1,29,9.66,18,0,0
Pravin Dubey,PBKS,1,1,1,2,20,20/1,20,10,12,0,0
Kwena Maphaka,RR,1,2,2,5,54,32/1,54,10.8,30,0,0
Sam Curran,CSK,1,5,5,12,133,34/1,133,11.08,72,0,0
Richard Gleeson,MI,1,1,1,3.3,39,39/1,39,11.14,21,0,0
Rasikh Dar,RCB,1,2,2,6,70,35/1,70,11.66,36,0,0
Spencer Johnson,KKR,1,4,4,11.2,133,42/1,133,11.73,68,0,0
Mukesh Choudhary,CSK,1,2,2,6,71,21/1,71,11.83,36,0,0
Anrich Nortje,KKR,1,2,2,7,83,23/1,83,,42,0,0
Shahbaz Ahmed,LSG,1,3,3,8.3,102,41/1,102,12,51,0,0
Yash Thakur,PBKS,1,2,2,6.3,79,39/1,79,12.15,39,0,0
Marcus Stoinis,PBKS,1,13,9,14.1,175,14/1,175,12.35,85,0,0
Shahrukh Khan,GT,1,15,1,1,13,13/1,13,13,6,0,0
V Satyanarayana Penmetsa,MI,1,2,2,4,53,40/1,53,13.25,24,0,0
Musheer Khan,PBKS,1,1,1,2,27,27/1,27,13.5,12,0,0
Mujeeb-ur-Rahman,MI,1,1,1,2,28,28/1,28,14,12,0,0
